item_id,item_name,category,veg_flag,price,combo_group,substitute_group
2449,Amritsari Paneer,Curry,Veg,150.0,curry,curry
2450,Punjabi Paneer Masala,Curry,Veg,150.0,curry,curry
2451,Matka Paneer,Curry,Veg,150.0,curry,curry
2452,Kumbh Makai Paneer,Curry,Veg,150.0,curry,curry
2453,Delhi Wale Chole,Sides,Veg,150.0,sides,sides
2454,Chole Paneer,Curry,Veg,150.0,curry,curry
2455,Corn & Capsicum Masala,Curry,Veg,150.0,curry,curry
2456,Bhindi Masala,Curry,Veg,150.0,curry,curry
2457,Subzi Mili Juli,Sides,Veg,150.0,sides,sides
2458,Gobi Mutter,Sides,Veg,150.0,sides,sides
2459,Kadhai Mushroom,Sides,Veg,150.0,sides,sides
2460,Paneer Lehsuni,Curry,Veg,150.0,curry,curry
2461,Paneer Handi,Curry,Veg,150.0,curry,curry
2462,Paneer Banjara Rocks,Curry,Veg,150.0,curry,curry
2463,Paneer Takatak,Curry,Veg,150.0,curry,curry
2464,Paneer Mumtaz,Curry,Veg,150.0,curry,curry
2465,Thai Veg Curry,Curry,Veg,150.0,curry,curry
2466,Veg Jaipuri,Sides,Veg,150.0,sides,sides
2467,Bhindi Do Pyaza,Sides,Veg,150.0,sides,sides
2468,Rajma Masala,Curry,Veg,150.0,curry,curry
2469,Veg Banjara,Sides,Veg,150.0,sides,sides
2470,Mushroom Do Pyaza,Sides,Veg,150.0,sides,sides
2471,Mix Veg,Sides,Veg,150.0,sides,sides
2472,Aloo Takatak,Sides,Veg,150.0,sides,sides
2473,Veg Patiala,Sides,Veg,150.0,sides,sides
2474,Pindi Chana,Sides,Veg,150.0,sides,sides
2475,Mushroom Mutter,Sides,Veg,150.0,sides,sides
2476,Paneer Patiala,Curry,Veg,150.0,curry,curry
2477,Paneer Dilbahar,Curry,Veg,150.0,curry,curry
2478,Malai Methi Paneer,Curry,Veg,150.0,curry,curry
2479,Paneer Makhani,Curry,Veg,150.0,curry,curry
2480,Kadhai Paneer,Curry,Veg,150.0,curry,curry
2481,Hyderabad Paneer,Curry,Veg,150.0,curry,curry
2482,Mushroom Paneer,Curry,Veg,150.0,curry,curry
2483,Paneer Bhurji,Curry,Veg,150.0,curry,curry
2484,Chilli Cauliflower,Sides,Veg,150.0,sides,sides
2485,Cauliflower Manchurian,Chinese,Veg,150.0,chinese,chinese
2486,Beijing Vegetables,Sides,Veg,150.0,sides,sides
2487,Stir Fried Vegetables,Sides,Veg,150.0,sides,sides
2488,Vegetables Balls Manchurian,Chinese,Veg,150.0,chinese,chinese
2489,Mixed Vegetables,Sides,Veg,150.0,sides,sides
2490,Babay Corn,Sides,Veg,150.0,sides,sides
2491,Chilli Paneer,Curry,Veg,150.0,curry,curry
2492,Thai Red Curry Vegetable,Curry,Veg,150.0,curry,curry
2493,Dhabba Style Paneer,Curry,Veg,150.0,curry,curry
2494,Exotic Tawa Veg,Sides,Veg,150.0,sides,sides
2495,Mushroom Mur Mur,Sides,Veg,150.0,sides,sides
2496,Pind Spl. Rice,Biryani,Veg,150.0,biryani,biryani
2497,Murgh Lababdar,Sides,Non-Veg,150.0,sides,sides
2498,Chicken Changezi,Sides,Non-Veg,150.0,sides,sides
2499,Punjabi Murgh Masala,Curry,Non-Veg,150.0,curry,curry
2500,Dhaba Style Chicken,Sides,Non-Veg,150.0,sides,sides
2501,Malai Methi Murgh,Sides,Non-Veg,150.0,sides,sides
2502,Hyderabadi Chicken,Sides,Non-Veg,150.0,sides,sides
2503,Chicken Dil Ruba,Sides,Non-Veg,150.0,sides,sides
2504,Murgh Korma,Sides,Non-Veg,150.0,sides,sides
2505,Tawa Chicken Chef Special,Sides,Non-Veg,150.0,sides,sides
2506,Chicken Saag Wala,Sides,Non-Veg,150.0,sides,sides
2507,Bheja Anda Masala,Curry,Non-Veg,150.0,curry,curry
2508,Bheja Fry,Starter,Non-Veg,150.0,starter,starter
2509,Cream Chicken,Sides,Non-Veg,150.0,sides,sides
2510,Dil Khush Murgh,Sides,Non-Veg,150.0,sides,sides
2511,Creamy Kebashish Chicken,Sides,Non-Veg,150.0,sides,sides
2512,Nargesi Kofta (mutton),Sides,Non-Veg,150.0,sides,sides
2513,Nargesi Kofta (chicken),Sides,Non-Veg,150.0,sides,sides
2514,Chicken Bemmisal Curry,Curry,Non-Veg,150.0,curry,curry
2515,Chicken Kofta Curry,Curry,Non-Veg,150.0,curry,curry
2516,Chicken Banjara,Sides,Non-Veg,150.0,sides,sides
2517,Chicken Nawabi,Sides,Non-Veg,150.0,sides,sides
2518,Mutton Kofta Curry,Curry,Non-Veg,150.0,curry,curry
2519,Keema Kaleji Mutton,Sides,Non-Veg,150.0,sides,sides
